date;abs;rel
Jan 19;11.706;0.1
Feb 19;8.171;0.1
Mar 19;9.048;0.1
Apr 19;10.461;0.1
May 19;11.450;0.1
June 19;10.429;0.1
July 19;11.173;0.1
Aug 19;11.950;0.2
Sept 19;17.095;0.2
Oct 19;23.680;0.3
Nov 19;27.519;0.3
Dec 19;21.124;0.3
Jan 20;30.924;0.4
Feb 20;33.438;0.4
Mar 20;849.565;7.7
Apr 20;2.905.818;17.9
May 20;2.391.095;17.1
June 20;1.643.016;13.3
July 20;1.161.243;9.8
Aug 20;882.159;7.6
Sept 20;797.340;6.6
Oct 20;;
Nov 20;;
