Date;relKruzarb;relUnemp
2020-01-31;0.008918447;0.053
2020-02-28;0.010277263;0.053
2020-03-31;0.066862703;0.051
2020-04-30;0.142712402;0.058
2020-05-31;0.136114167;0.061
2020-06-30;0.105864335;0.062
2020-07-31;0.07706349;0.063
2020-08-31;0.060488122;0.064
2020-09-30;0.048429058;0.062
2020-10-31;0.042505096;0.06
2020-11-30;0.04680692;0.059
