"","Date","NumberofCompanyBirths","Bundesland"
"139",2019-07-01,570,"Saarland"
"140",2019-08-01,563,"Saarland"
"141",2019-09-01,572,"Saarland"
"142",2019-10-01,571,"Saarland"
"143",2019-11-01,514,"Saarland"
"144",2019-12-01,517,"Saarland"
"145",2019-01-01,2730,"Sachsen"
"146",2019-02-01,2334,"Sachsen"
"147",2019-03-01,2459,"Sachsen"
"148",2019-04-01,2234,"Sachsen"
"149",2019-05-01,2155,"Sachsen"
"150",2019-06-01,1987,"Sachsen"
"151",2019-07-01,2345,"Sachsen"
"152",2019-08-01,2332,"Sachsen"
"153",2019-09-01,2137,"Sachsen"
"154",2019-10-01,1998,"Sachsen"
"155",2019-11-01,2017,"Sachsen"
"156",2019-12-01,2008,"Sachsen"
"157",2019-01-01,1127,"Sachsen-Anhalt"
"158",2019-02-01,973,"Sachsen-Anhalt"
"159",2019-03-01,984,"Sachsen-Anhalt"
"160",2019-04-01,971,"Sachsen-Anhalt"
"161",2019-05-01,910,"Sachsen-Anhalt"
"162",2019-06-01,805,"Sachsen-Anhalt"
"163",2019-07-01,813,"Sachsen-Anhalt"
"164",2019-08-01,938,"Sachsen-Anhalt"
"165",2019-09-01,857,"Sachsen-Anhalt"
"166",2019-10-01,771,"Sachsen-Anhalt"
"167",2019-11-01,799,"Sachsen-Anhalt"
"168",2019-12-01,976,"Sachsen-Anhalt"
"169",2019-01-01,2819,"Schleswig-Holstein"
"170",2019-02-01,2320,"Schleswig-Holstein"
"171",2019-03-01,2448,"Schleswig-Holstein"
"172",2019-04-01,2217,"Schleswig-Holstein"
"173",2019-05-01,2204,"Schleswig-Holstein"
"174",2019-06-01,1985,"Schleswig-Holstein"
"175",2019-07-01,2135,"Schleswig-Holstein"
"176",2019-08-01,2178,"Schleswig-Holstein"
"177",2019-09-01,2080,"Schleswig-Holstein"
"178",2019-10-01,1767,"Schleswig-Holstein"
"179",2019-11-01,1857,"Schleswig-Holstein"
"180",2019-12-01,2005,"Schleswig-Holstein"
"181",2019-01-01,1217,"Thüringen"
"182",2019-02-01,998,"Thüringen"
"183",2019-03-01,1002,"Thüringen"
"184",2019-04-01,900,"Thüringen"
"185",2019-05-01,879,"Thüringen"
"186",2019-06-01,878,"Thüringen"
"187",2019-07-01,906,"Thüringen"
"188",2019-08-01,888,"Thüringen"
"189",2019-09-01,850,"Thüringen"
"190",2019-10-01,777,"Thüringen"
"191",2019-11-01,980,"Thüringen"
"192",2019-12-01,1006,"Thüringen"
"193",2020-01-01,9692,"Baden-Württemberg"
"194",2020-02-01,7388,"Baden-Württemberg"
"195",2020-03-01,6469,"Baden-Württemberg"
"196",2020-04-01,5238,"Baden-Württemberg"
"197",2020-05-01,6951,"Baden-Württemberg"
"198",2020-06-01,7638,"Baden-Württemberg"
"199",2020-07-01,8502,"Baden-Württemberg"
"200",2020-08-01,6932,"Baden-Württemberg"
"201",2020-09-01,7718,"Baden-Württemberg"
"202",2020-10-01,7656,"Baden-Württemberg"
"203",2020-11-01,7834,"Baden-Württemberg"
"205",2020-01-01,14071,"Bayern"
"206",2020-02-01,10597,"Bayern"
"207",2020-03-01,7364,"Bayern"
"208",2020-04-01,7463,"Bayern"
"209",2020-05-01,8798,"Bayern"
"210",2020-06-01,10166,"Bayern"
"211",2020-07-01,10932,"Bayern"
"212",2020-08-01,9087,"Bayern"
"213",2020-09-01,10038,"Bayern"
"214",2020-10-01,10653,"Bayern"
"215",2020-11-01,10026,"Bayern"
"217",2020-01-01,4194,"Berlin"
"218",2020-02-01,3507,"Berlin"
"219",2020-03-01,3274,"Berlin"
"220",2020-04-01,2988,"Berlin"
"221",2020-05-01,3066,"Berlin"
"222",2020-06-01,3248,"Berlin"
"223",2020-07-01,3424,"Berlin"
"224",2020-08-01,3345,"Berlin"
"225",2020-09-01,3605,"Berlin"
"226",2020-10-01,3883,"Berlin"
"227",2020-11-01,3593,"Berlin"
"229",2020-01-01,1963,"Brandenburg"
"230",2020-02-01,1525,"Brandenburg"
"231",2020-03-01,1325,"Brandenburg"
"232",2020-04-01,1137,"Brandenburg"
"233",2020-05-01,1171,"Brandenburg"
"234",2020-06-01,1592,"Brandenburg"
"235",2020-07-01,1561,"Brandenburg"
"236",2020-08-01,1353,"Brandenburg"
"237",2020-09-01,1528,"Brandenburg"
"238",2020-10-01,1356,"Brandenburg"
"239",2020-11-01,1241,"Brandenburg"
"241",2020-01-01,391,"Bremen"
"242",2020-02-01,391,"Bremen"
"243",2020-03-01,260,"Bremen"
"244",2020-04-01,275,"Bremen"
