Date;Close;Index
2020-03-02;5333520020;CAC40
2020-03-03;5393169922;CAC40
2020-03-04;5464890137;CAC40
2020-03-05;5361100098;CAC40
2020-03-06;5139109863;CAC40
2020-03-09;4707910156;CAC40
2020-03-10;4636609863;CAC40
2020-03-11;4610250000;CAC40
2020-03-12;4044260010;CAC40
2020-03-13;4118359863;CAC40
2020-03-16;3881459961;CAC40
2020-03-17;3991780029;CAC40
2020-03-18;3754840088;CAC40
2020-03-19;3855500000;CAC40
2020-03-20;4048800049;CAC40
2020-03-23;3914310059;CAC40
2020-03-24;4242700195;CAC40
2020-03-25;4432299805;CAC40
2020-03-26;4543580078;CAC40
2020-03-27;4351490234;CAC40
2020-03-30;4378509766;CAC40
2020-03-31;4396120117;CAC40
2020-04-01;4207240234;CAC40
2020-04-02;4220959961;CAC40
2020-04-03;4154580078;CAC40
2020-04-06;4346140137;CAC40
2020-04-07;4438270020;CAC40
2020-04-08;4442750000;CAC40
2020-04-09;4506850098;CAC40
2020-04-14;4523910156;CAC40
2020-04-15;4353720215;CAC40
2020-04-16;4350160156;CAC40
2020-04-17;4499009766;CAC40
2020-04-20;4528299805;CAC40
2020-04-21;4357459961;CAC40
2020-04-22;4411799805;CAC40
2020-04-23;4451000000;CAC40
2020-04-24;4393319824;CAC40
2020-04-27;4505259766;CAC40
2020-04-28;4569790039;CAC40
2020-04-29;4671109863;CAC40
2020-04-30;4572180176;CAC40
2020-05-04;4378229980;CAC40
2020-05-05;4483129883;CAC40
2020-05-06;4433379883;CAC40
2020-05-07;4501439941;CAC40
2020-05-08;4549640137;CAC40
2020-05-11;4490220215;CAC40
2020-05-12;4472500000;CAC40
2020-05-13;4344950195;CAC40
2020-05-14;4273129883;CAC40
2020-05-15;4277629883;CAC40
2020-05-18;4498339844;CAC40
2020-05-19;4458160156;CAC40
2020-05-20;4496979980;CAC40
2020-05-21;4445450195;CAC40
2020-05-22;4444560059;CAC40
2020-05-25;4539910156;CAC40
2020-05-26;4606240234;CAC40
2020-05-27;4688740234;CAC40
2020-05-28;4771390137;CAC40
2020-05-29;4695439941;CAC40
2020-06-01;4762779785;CAC40
2020-06-02;4858970215;CAC40
2020-06-03;5022379883;CAC40
2020-06-04;5011979980;CAC40
2020-06-05;5197790039;CAC40
2020-06-08;5175520020;CAC40
2020-06-09;5095109863;CAC40
2020-06-10;5053419922;CAC40
2020-06-11;4815600098;CAC40
2020-06-12;4839259766;CAC40
2020-06-15;4815720215;CAC40
2020-06-16;4952459961;CAC40
2020-06-17;4995970215;CAC40
2020-06-18;4958750000;CAC40
2020-06-19;4979450195;CAC40
2020-06-22;4948700195;CAC40
2020-06-23;5017680176;CAC40
2020-06-24;4871359863;CAC40
2020-06-25;4918580078;CAC40
2020-06-26;4909640137;CAC40
2020-06-29;4945459961;CAC40
2020-06-30;4935990234;CAC40
2020-07-01;4926939941;CAC40
2020-07-02;5049379883;CAC40
2020-07-03;5007140137;CAC40
2020-07-06;5081509766;CAC40
2020-07-07;5043729980;CAC40
2020-07-08;4981129883;CAC40
2020-07-09;4921009766;CAC40
2020-07-10;4970479980;CAC40
2020-07-13;5056229980;CAC40
2020-07-14;5007459961;CAC40
2020-07-15;5108979980;CAC40
2020-07-16;5085279785;CAC40
2020-07-17;5069419922;CAC40
2020-07-20;5093180176;CAC40
2020-07-21;5104279785;CAC40
2020-07-22;5037120117;CAC40
2020-07-23;5033759766;CAC40
2020-07-24;4956430176;CAC40
2020-07-27;4939620117;CAC40
2020-07-28;4928939941;CAC40
2020-07-29;4958740234;CAC40
2020-07-30;4852939941;CAC40
2020-07-31;4783689941;CAC40
2020-08-03;4875930176;CAC40
2020-08-04;4889520020;CAC40
2020-08-05;4933339844;CAC40
2020-08-06;4885129883;CAC40
2020-08-07;4889520020;CAC40
2020-08-10;4909509766;CAC40
2020-08-11;5027990234;CAC40
2020-08-12;5073310059;CAC40
2020-08-13;5042379883;CAC40
2020-08-14;4962930176;CAC40
2020-08-17;4971939941;CAC40
2020-08-18;4938060059;CAC40
2020-08-19;4977229980;CAC40
2020-08-20;4911240234;CAC40
2020-08-21;4896330078;CAC40
2020-08-24;5007890137;CAC40
2020-08-25;5008270020;CAC40
2020-08-26;5048430176;CAC40
2020-08-27;5015970215;CAC40
2020-08-28;5002939941;CAC40
2020-08-31;4947220215;CAC40
2020-09-01;4938100098;CAC40
2020-09-02;5031740234;CAC40
2020-09-03;5009520020;CAC40
2020-09-04;4965069824;CAC40
2020-09-07;5053720215;CAC40
2020-09-08;4973520020;CAC40
2020-09-09;5042979980;CAC40
2020-09-10;5023930176;CAC40
2020-09-11;5034140137;CAC40
2020-09-14;5051879883;CAC40
2020-09-15;5067930176;CAC40
2020-09-16;5074419922;CAC40
2020-09-17;5039500000;CAC40
2020-09-18;4978180176;CAC40
2020-09-21;4792040039;CAC40
2020-09-22;4772839844;CAC40
2020-09-23;4802259766;CAC40
2020-09-24;4762620117;CAC40
2020-09-25;4729660156;CAC40
2020-09-28;4843270020;CAC40
2020-09-29;4832069824;CAC40
2020-09-30;4803439941;CAC40
2020-10-01;4824040039;CAC40
2020-10-02;4824879883;CAC40
2020-10-05;4871870117;CAC40
2020-10-06;4895459961;CAC40
2020-10-07;4882000000;CAC40
2020-10-08;4911939941;CAC40
2020-10-09;4946810059;CAC40
2020-10-12;4979290039;CAC40
2020-10-13;4947609863;CAC40
2020-10-14;4941660156;CAC40
2020-10-15;4837419922;CAC40
2020-10-16;4935859863;CAC40
2020-10-19;4942620117;CAC40
2020-10-20;4929279785;CAC40
2020-10-21;4853950195;CAC40
2020-10-22;4851379883;CAC40
2020-10-23;4909640137;CAC40
2020-10-26;4816120117;CAC40
2020-10-27;4730660156;CAC40
2020-10-28;4571120117;CAC40
2020-10-29;4569669922;CAC40
2020-10-30;4594240234;CAC40
2020-11-02;4691140137;CAC40
2020-11-03;4805609863;CAC40
2020-11-04;4922850098;CAC40
2020-11-05;4983990234;CAC40
2020-11-06;4960879883;CAC40
2020-11-09;5336319824;CAC40
2020-11-10;5418970215;CAC40
2020-11-11;5445209961;CAC40
2020-11-12;5362569824;CAC40
2020-11-13;5380160156;CAC40
2020-11-16;5471479980;CAC40
2020-11-17;5483000000;CAC40
2020-11-18;5511450195;CAC40
2020-11-19;5474660156;CAC40
2020-11-20;5495890137;CAC40
2020-11-23;5492149902;CAC40
2020-11-24;5558419922;CAC40
2020-11-25;5571290039;CAC40
2020-11-26;5566790039;CAC40
2020-11-27;5598180176;CAC40
2020-11-30;5518549805;CAC40
2020-12-01;5581640137;CAC40
2020-12-02;5583009766;CAC40
2020-12-03;5574359863;CAC40
2020-12-04;5609149902;CAC40
2020-12-07;5573379883;CAC40
2020-12-08;5560669922;CAC40
2020-12-09;5546819824;CAC40
2020-12-10;5549649902;CAC40
2020-12-11;5507549805;CAC40
2020-12-14;5527839844;CAC40
2020-12-15;5530310059;CAC40
2020-12-16;5547680176;CAC40
2020-12-17;5549459961;CAC40
2020-12-18;5527839844;CAC40
